1kP_Sample,Clade,Family,Species,,,
DTOA,Core Eudicots/Asterids,Maesaceae,Maesa lanceolata,,,
BNTL,Core Eudicots/Asterids,Marcgraviaceae,Souroubea exauriculata,,,
DAAD,Core Eudicots/Asterids,Myrsinaceae,Ardisia revoluta,,,
ODDO,Core Eudicots/Asterids,Myrsinaceae,Ardisia humilis,,,
NGRR,Core Eudicots/Asterids,Pentaphylacaceae,Ternstroemia gymnanthera,,,
WVMY,Core Eudicots/Asterids,Polemoniaceae,Phlox drummondii,,,
FNEN,Core Eudicots/Asterids,Polemoniaceae,Phlox sp.,,,
OJCW,Core Eudicots/Asterids,Primulaceae,Maesa lanceolata,,,
HUSX,Core Eudicots/Asterids,Roridulaceae,Roridula gorgonias,,,
WRPP,Core Eudicots/Asterids,Sapotaceae,Synsepalum dulcificum,,,
BEFC,Core Eudicots/Asterids,Sapotaceae,Manilkara zapota,,,
OXYP,Core Eudicots/Asterids,Sapotaceae,Sideroxylon reclinatum,,,
AXBO,Core Eudicots/Asterids,Styracaceae,Sinojackia xylocarpa,,,
JPDJ,Core Eudicots/Asterids,Symplocaceae,Symplocos tinctoria,,,
PTFA,Core Eudicots/Asterids,Theophrastaceae,Jacquinia sp.,,,
VJSJ,Core Eudicots/Asterids,Boraginaceae,Heliotropium calcicola,,,
NJJO,Core Eudicots/Asterids,Apodanthaceae,Pilostyles thurberi,,,
JWEY,Core Eudicots/Asterids,Boraginaceae,Heliotropium tenuifolium,,,
EIGQ,Core Eudicots/Asterids,Boraginaceae,Heliotropium calcicola,,,
RGMN,Core Eudicots/Asterids,Boraginaceae,Heliotropium calcicola,,,
OUER,Core Eudicots/Asterids,Boraginaceae,Heliotropium convolvulaceum,,,
XKVX,Core Eudicots/Asterids,Boraginaceae,Heliotropium filiforme,,,
IPPG,Core Eudicots/Asterids,Boraginaceae,Heliotropium filiforme,,,
ABEH,Core Eudicots/Asterids,Boraginaceae,Heliotropium greggii,,,
NIGS,Core Eudicots/Asterids,Boraginaceae,Heliotropium karwinskyi,,,
MZOB,Core Eudicots/Asterids,Boraginaceae,Heliotropium mendocinum,,,
IDGE,Core Eudicots/Asterids,Boraginaceae,Heliotropium racemosum,,,
DIHD,Core Eudicots/Asterids,Boraginaceae,Heliotropium tenellum,,,
IWJG,Core Eudicots/Asterids,Boraginaceae,Heliotropium texanum,,,
CSWE,Core Eudicots/Asterids,Boraginaceae,Heliotropium texanum,,,
EMAL,Core Eudicots/Asterids,Boraginaceae,Ehretia acuminata,,,
DKFZ,Core Eudicots/Asterids,Boraginaceae,Mertensia paniculata,,,
YQIJ,Core Eudicots/Asterids,Boraginaceae,Phacelia campanularia,,,
SMUR,Core Eudicots/Asterids,Boraginaceae,Lennoa madreporoides,,,
HANM,Core Eudicots/Asterids,Boraginaceae,Pholisma arenarium,,,
QZZU,Core Eudicots/Asterids,Icacinaceae,Pyrenacantha malvifolia,,,
SZUO,Core Eudicots/Asterids,Eucommiaceae,Eucommia ulmoides,,,
GIPR,Core Eudicots/Asterids,Garryaceae,Aucuba japonica,,,
PVGM,Core Eudicots/Asterids,Oncothecaceae,Oncotheca balansae,,,
MGVU,Core Eudicots/Asterids,Apocynaceae,Allamanda cathartica,,,
UOYN,Core Eudicots/Asterids,Apocynaceae,Catharanthus roseus,,,
JCLQ,Core Eudicots/Asterids,Apocynaceae,Apocynum androsaemifolium,,,
UFQC,Core Eudicots/Asterids,Apocynaceae,Apocynum androsaemifolium,,,
QEHE,Core Eudicots/Asterids,Apocynaceae,Rauvolfia tetraphylla,,,
YADI,Core Eudicots/Asterids,Apocynaceae,Asclepias syriaca,,,
DSUV,Core Eudicots/Asterids,Apocynaceae,Asclepias curassavica,,,
EDEQ,Core Eudicots/Asterids,Apocynaceae,Wrightia natalensis,,,
JGYZ,Core Eudicots/Asterids,Apocynaceae,Holarrhena pubescens,,,
HGSM,Core Eudicots/Asterids,Gelsemiaceae,Gelsemium sempervirens,,,
KPUM,Core Eudicots/Asterids,Gentianaceae,Exacum affine,,,
ECTD,Core Eudicots/Asterids,Gentianaceae,Gentiana acaulis,,,
GGJD,Core Eudicots/Asterids,Loganiaceae,Strychnos spinosa,,,
BQEQ,Core Eudicots/Asterids,Rubiaceae,Psychotria ipecacuanha,,,
JOPH,Core Eudicots/Asterids,Rubiaceae,Psychotria ipecacuanha,,,
ULGV,Core Eudicots/Asterids,Rubiaceae,Morinda citrifolia,,,
WQRD,Core Eudicots/Asterids,Rubiaceae,Galium boreale,,,
PCNH,Core Eudicots/Asterids,Rubiaceae,Psychotria marginata,,,
DNQA,Core Eudicots/Asterids,Rubiaceae,Psychotria douarrei,,,
WEAC,Core Eudicots/Asterids,Acanthaceae,Strobilanthes dyeriana,,,
AYIY,Core Eudicots/Asterids,Acanthaceae,Ruellia brittoniana,,,
PCGJ,Core Eudicots/Asterids,Acanthaceae,Anisacanthus quadrifidus,,,
NBMW,Core Eudicots/Asterids,Acanthaceae,Sanchezia sp.,,,
TKEK,Core Eudicots/Asterids,Bignoniaceae,Mansoa alliacea,,,
UTQR,Core Eudicots/Asterids,Bignoniaceae,Tabebuia umbellata,,,
SVQC,Core Eudicots/Asterids,Bignoniaceae,Kigelia africana,,,
QKEI,Core Eudicots/Asterids,Bignoniaceae,Kigelia africana,,,
GDZS,Core Eudicots/Asterids,Byblidaceae,Byblis gigantea,,,
DCCI,Core Eudicots/Asterids,Calceolariaceae,Calceolaria pinifolia,,,
DTNC,Core Eudicots/Asterids,Gesneriaceae,Sinningia tuberosa,,,
RWKR,Core Eudicots/Asterids,Gesneriaceae,Saintpaulia ionantha,,,
FDMM,Core Eudicots/Asterids,Lamiaceae,Rosmarinus officinalis,,,
EQDA,Core Eudicots/Asterids,Lamiaceae,Salvia spp.,,,
PUCW,Core Eudicots/Asterids,Lamiaceae,Agastache rugosa,,,
ATYL,Core Eudicots/Asterids,Lamiaceae,Scutellaria montana,,,
SNNC,Core Eudicots/Asterids,Lamiaceae,Leonurus japonicus,,,
DYFF,Core Eudicots/Asterids,Lamiaceae,Pycnanthemum tenuifolium,,,
FYUH,Core Eudicots/Asterids,Lamiaceae,Lavandula angustifolia,,,
BAHE,Core Eudicots/Asterids,Lamiaceae,Solenostemon scutellarioides,,,
DMLT,Core Eudicots/Asterids,Lamiaceae,Vitex agnus-castus,,,
IYDF,Core Eudicots/Asterids,Lamiaceae,Thymus vulgaris,,,
LRRR,Core Eudicots/Asterids,Lamiaceae,Teucrium chamaedrys,,,
GETL,Core Eudicots/Asterids,Lamiaceae,Pogostemon sp.,,,
WHNV,Core Eudicots/Asterids,Lamiaceae,Micromeria fruticosa,,,
FUMQ,Core Eudicots/Asterids,Lamiaceae,Nepeta cataria,,,
UCNM,Core Eudicots/Asterids,Lamiaceae,Ajuga reptans,,,
EAAA,Core Eudicots/Asterids,Lamiaceae,Marrubium vulgare,,,
TAGM,Core Eudicots/Asterids,Lamiaceae,Melissa officinalis,,,
PHCE,Core Eudicots/Asterids,Lamiaceae,Prunella vulgaris,,,
RTNA,Core Eudicots/Asterids,Lamiaceae,Oxera pulchella,,,
XMBA,Core Eudicots/Asterids,Lamiaceae,Poliomintha bustamanta,,,
GNPX,Core Eudicots/Asterids,Lamiaceae,Oxera neriifolia,,,
HRUR,Core Eudicots/Asterids,Lentibulariaceae,Utricularia sp.,,,
MXFG,Core Eudicots/Asterids,Lentibulariaceae,Pinguicula agnata,,,
JCMU,Core Eudicots/Asterids,Lentibulariaceae,Pinguicula caudata,,,
TORX,Core Eudicots/Asterids,Oleaceae,Olea europaea,,,
KTAR,Core Eudicots/Asterids,Oleaceae,Chionanthus retusus,,,
MZLD,Core Eudicots/Asterids,Oleaceae,Ligustrum sinense,,,
UEEN,Core Eudicots/Asterids,Oleaceae,Forestiera segregata,,,
FAMO,Core Eudicots/Asterids,Orobanchaceae,Conopholis americana,,,
WUZV,Core Eudicots/Asterids,Orobanchaceae,Lindenbergia philippensis,,,
ZVFS,Core Eudicots/Asterids,Orobanchaceae,Lindenbergia philippensis,,,
PHOQ,Core Eudicots/Asterids,Orobanchaceae,Orobanche fasciculata,,,
VTOK,Core Eudicots/Asterids,Orobanchaceae,Orobanche fasciculata,,,
XMOG,Core Eudicots/Asterids,Orobanchaceae,Epifagus virginiana,,,
URZI,Core Eudicots/Asterids,Orobanchaceae,Epifagus virginiana,,,
UMUL,Core Eudicots/Asterids,Paulowniaceae,Paulownia fargesii,,,
ZRIN,Core Eudicots/Asterids,Pedaliaceae,Uncarina grandidieri,,,
OWAS,Core Eudicots/Asterids,Rehmnniaceae,Rehmannia glutinosa,,,
GNRI,Core Eudicots/Asterids,Plantaginaceae,Digitalis purpurea,,,
DCVZ,Core Eudicots/Asterids,Plantaginaceae,Plantago coronopus,,,
YKZB,Core Eudicots/Asterids,Plantaginaceae,Plantago maritima,,,
PTBJ,Core Eudicots/Asterids,Plantaginaceae,Plantago virginica,,,
TPUT,Core Eudicots/Asterids,Plantaginaceae,Antirrhinum majus,,,
EBOL,Core Eudicots/Asterids,Plantaginaceae,Antirrhinum majus,,,
YRHD,Core Eudicots/Asterids,Plantaginaceae,Antirrhinum braun-blanquetii,,,
CLRW,Core Eudicots/Asterids,Plantaginaceae,Bacopa caroliniana,,,
EDXZ,Core Eudicots/Asterids,Schlegeliaceae,Schlegelia violacea,,,
GAKQ,Core Eudicots/Asterids,Schlegeliaceae,Schlegelia parasitica,,,
CWLL,Core Eudicots/Asterids,Schlegeliaceae,Schlegelia parasitica,,,
SIBR,Core Eudicots/Asterids,Scrophulariaceae,Celsia arcturus,,,
XXYA,Core Eudicots/Asterids,Scrophulariaceae,Verbascum sp.,,,
EJBY,Core Eudicots/Asterids,Scrophulariaceae,Anticharis glandulosa,,,
XRLM,Core Eudicots/Asterids,Scrophulariaceae,Buddleja lindleyana,,,
GRFT,Core Eudicots/Asterids,Scrophulariaceae,Buddleja sp.,,,
COBX,Core Eudicots/Asterids,Tetrachondraceae,Polypremum procumbens,,,
PSHB,Core Eudicots/Asterids,Verbenaceae,Lantana camara,,,
GCFE,Core Eudicots/Asterids,Verbenaceae,Verbena hastata,,,
MQIV,Core Eudicots/Asterids,Verbenaceae,Phyla dulcis,,,
CPOC,Core Eudicots/Asterids,Convolvulaceae,Convolvulus arvensis,,,
VXKB,Core Eudicots/Asterids,Convolvulaceae,Ipomoea purpurea,,,
SDXI,Core Eudicots/Asterids,Convolvulaceae,Ipomoea purpurea,,,
QSLH,Core Eudicots/Asterids,Convolvulaceae,Ipomoea hederacea,,,
NHAG,Core Eudicots/Asterids,Convolvulaceae,Ipomoea nil,,,
ERWT,Core Eudicots/Asterids,Convolvulaceae,Ipomoea coccinea,,,
ALUC,Core Eudicots/Asterids,Convolvulaceae,Ipomoea quamoclit,,,
EMBR,Core Eudicots/Asterids,Convolvulaceae,Ipomoea pubescens,,,
NAUM,Core Eudicots/Asterids,Convolvulaceae,Ipomoea lindheimeri,,,
OQBM,Core Eudicots/Asterids,Convolvulaceae,Ipomoea indica,,,
IZNU,Core Eudicots/Asterids,Convolvulaceae,Ipomoea lobata,,,
AHRN,Core Eudicots/Asterids,Convolvulaceae,Cuscuta pentagona,,,
KTWL,Core Eudicots/Asterids,Montiniaceae,Kaliphora madagascariensis,,,
BOLZ,Core Eudicots/Asterids,Solanaceae,Atropa belladonna,,,
DLJZ,Core Eudicots/Asterids,Solanaceae,Solanum ptychanthum,,,
GHLP,Core Eudicots/Asterids,Solanaceae,Solanum dulcamara,,,
LQJY,Core Eudicots/Asterids,Solanaceae,Solanum xanthocarpum,,,
LWCK,Core Eudicots/Asterids,Solanaceae,Lycium barbarum,,,
JNVS,Core Eudicots/Asterids,Solanaceae,Datura metel,,,
OSMU,Core Eudicots/Asterids,Solanaceae,Lycium sp.,,,
UGJI,Core Eudicots/Asterids,Solanaceae,Lycopersicon cheesmanii,,,
DLAI,Core Eudicots/Asterids,Solanaceae,Solanum lasiophyllum,,,
NMDZ,Core Eudicots/Asterids,Solanaceae,Solanum sisymbriifolium,,,
MKZR,Core Eudicots/Asterids,Solanaceae,Nicotiana sylvestris,,,
AIOU,Core Eudicots/Asterids,Solanaceae,Brugmansia sanguinea,,,
CLNU,Core Eudicots/Asterids,Escalloniaceae,Escallonia sp. cv. Newport,,,
CLMX,Core Eudicots/Asterids,Escalloniaceae,Escallonia rubra,,,
TPEM,Core Eudicots/Asterids,Escalloniaceae,Platyspermation crassifolium,,,
TQKZ,Core Eudicots/Asterids,Apiaceae,Angelica archangelica,,,
CWYJ,Core Eudicots/Asterids,Apiaceae,Heracleum lanatum,,,
EITK,Core Eudicots/Asterids,Araliaceae,Hedera helix,,,
JBYE,Core Eudicots/Asterids,Araliaceae,Hedera helix,,,
EDBB,Core Eudicots/Asterids,Araliaceae,Polyscias fruticosa,,,
OINM,Core Eudicots/Asterids,Araliaceae,Hydrocotyle umbellata,,,
MVSE,Core Eudicots/Asterids,Griseliniaceae,Griselinia littoralis,,,
QIKZ,Core Eudicots/Asterids,Griseliniaceae,Griselinia racemosa,,,
WEQK,Core Eudicots/Asterids,Mackinlayaceae,Centella asiatica,,,
AJFN,Core Eudicots/Asterids,Myodocarpaceae,Myodocarpus sp.,,,
SBZH,Core Eudicots/Asterids,Pennatiaceae,Pennantia corymbosa,,,
NTEO,Core Eudicots/Asterids,Pittosporaceae,Pittosporum sahnianum,,,
SALZ,Core Eudicots/Asterids,Pittosporaceae,Pittosporum resiniferum,,,
DFYF,Core Eudicots/Asterids,Aquifoliaceae,Ilex sp.,,,
ASMV,Core Eudicots/Asterids,Aquifoliaceae,Ilex vomitoria,,,
SXML,Core Eudicots/Asterids,Aquifoliaceae,Ilex paraguariensis,,,
QACK,Core Eudicots/Asterids,Helwingiaceae,Helwingia japonica,,,
GIOY,Core Eudicots/Asterids,Argophyllaceae,Corokia cotoneaster,,,
WSYE,Core Eudicots/Asterids,Asteraceae,Conyza canadensis,,,
NUSE,Core Eudicots/Asterids,Asteraceae,Conyza canadensis,,,
UBLN,Core Eudicots/Asterids,Asteraceae,Xanthium strumarium,,,
AFQQ,Core Eudicots/Asterids,Asteraceae,Inula helenium,,,
DUQG,Core Eudicots/Asterids,Asteraceae,Tanacetum parthenium,,,
OAGK,Core Eudicots/Asterids,Asteraceae,Matricaria matricarioides,,,
TEZA,Core Eudicots/Asterids,Asteraceae,Solidago canadensis,,,
EYKJ,Core Eudicots/Asterids,Asteraceae,Silybum marianum,,,
DUNJ,Core Eudicots/Asterids,Asteraceae,Helenium autumnale,,,
DESP,Core Eudicots/Asterids,Asteraceae,Erigeron canadensis,,,
XRCX,Core Eudicots/Asterids,Asteraceae,Aster tataricus,,,
UQAZ,Core Eudicots/Asterids,Asteraceae,Flaveria angustifolia,,,
EXHX,Core Eudicots/Asterids,Asteraceae,Flaveria angustifolia,,,
ZNZC,Core Eudicots/Asterids,Asteraceae,Flaveria bidentis,,,
QBGG,Core Eudicots/Asterids,Asteraceae,Flaveria bidentis,,,
LMXP,Core Eudicots/Asterids,Asteraceae,Flaveria brownii,,,
IPUI,Core Eudicots/Asterids,Asteraceae,Flaveria brownii,,,
DSWR,Core Eudicots/Asterids,Asteraceae,Flaveria cronquistii,,,
KJBH,Core Eudicots/Asterids,Asteraceae,Flaveria cronquistii,,,
QXWF,Core Eudicots/Asterids,Asteraceae,Flaveria kochiana,,,
NVSO,Core Eudicots/Asterids,Asteraceae,Flaveria palmeri,,,
GFVW,Core Eudicots/Asterids,Asteraceae,Flaveria pringlei,,,
RZSW,Core Eudicots/Asterids,Asteraceae,Flaveria pringlei,,,
JZHZ,Core Eudicots/Asterids,Asteraceae,Flaveria pubescens,,,
HXDV,Core Eudicots/Asterids,Asteraceae,Flaveria pubescens,,,
UYED,Core Eudicots/Asterids,Asteraceae,Flaveria sonorensis,,,
HRVY,Core Eudicots/Asterids,Asteraceae,Flaveria trinervia,,,
RLCS,Core Eudicots/Asterids,Asteraceae,Flaveria trinervia,,,
HXCD,Core Eudicots/Asterids,Asteraceae,Flaveria vaginata,,,
DDRL,Core Eudicots/Asterids,Asteraceae,Tragopogon dubius,,,
BMSE,Core Eudicots/Asterids,Asteraceae,Senecio rowleyanus,,,
FUPX,Core Eudicots/Asterids,Asteraceae,Tragopogon pratensis,,,
KGJF,Core Eudicots/Asterids,Asteraceae,Tragopogon porrifolius,,,
KFZY,Core Eudicots/Asterids,Asteraceae,Tragopogon castellanus,,,
ZGDS,Core Eudicots/Asterids,Asteraceae,Lactuca graminifolia,,,
MMJI,Core Eudicots/Asterids,Asteraceae,Lactuca graminifolia,,,
CFRN,Core Eudicots/Asterids,Asteraceae,Carthamus lanatus,,,
JNKW,Core Eudicots/Asterids,Asteraceae,Cicerbita plumieri,,,
GUMF,Core Eudicots/Asterids,Asteraceae,Anthemis tinctoria,,,
DOVJ,Core Eudicots/Asterids,Asteraceae,Leontopodium alpinum,,,
IZLO,Core Eudicots/Asterids,Campanulaceae,Lobelia siphilitica,,,
IHPC,Core Eudicots/Asterids,Campanulaceae,Platycodon grandiflorus,,,
HUQC,Core Eudicots/Asterids,Goodeniaceae,Scaevola mossambicensis,,,
IXVJ,Core Eudicots/Asterids,Menyanthaceae,Menyanthes trifoliata,,,
AUIP,Core Eudicots/Asterids,Phellinaceae,Phelline lucida,,,
FXGI,Core Eudicots/Asterids,Stylidiaceae,Stylidium adnatum,,,
HLJG,Core Eudicots/Asterids,Adoxaceae,Viburnum odoratissimum,,,
SNBI,Core Eudicots/Asterids,Adoxaceae,Sambucus canadensis,,,
QRNU,Core Eudicots/Asterids,Adoxaceae,Sambucus canadensis,,,
GSZA,Core Eudicots/Asterids,Caprifoliaceae,Lonicera japonica,,,
CAQZ,Core Eudicots/Asterids,Caprifoliaceae s. l.,Symphoricarpos sp.,,,
JTRM,Core Eudicots/Asterids,[Dipsacaceae],Dipsacus asper,,,
FFFY,Core Eudicots/Asterids,[Valerianaceae],Valeriana officinalis,,,
MTII,Monocots,Acoraceae,Acorus americanus,,,
DWZT,Monocots,Alismataceae,Sagittaria latifolia,,,
MFIN,Monocots,Araceae,Pistia stratiotes,,,
COCP,Monocots,Juncaginaceae,Triglochin maritima,,,
BYQM,Monocots,Posidoniaceae,Posidonia australis,,,
OCWZ,Monocots,Dioscoreaceae,Dioscorea villosa,,,
VVVV,Monocots,Cyclanthaceae,Ludovia sp.,,,
DGXS,Monocots,Pandanaceae,Freycinetia multiflora,,,
VBHQ,Monocots,Stemonaceae,Stemona tuberosa,,,
SILJ,Monocots,Velloziaceae,Talbotia elegans,,,
QOXT,Monocots,Velloziaceae,Xerophyta villosa,,,
NHIX,Monocots,Colchicaceae,Colchicum autumnale,,,
OVRB,Monocots,Colchicaceae,Colchicum autumnale,,,
SFCT,Monocots,Colchicaceae,Colchicum autumnale,,,
GDKK,Monocots,Colchicaceae,Gloriosa superba,,,
THEW,Monocots,Liliaceae,Lilium sargentiae,,,
AFLV,Monocots,Melanthiaceae,Xerophyllum asphodeloides,,,
OOSO,Monocots,Melanthiaceae,Helonias bullata,,,
MWYQ,Monocots,Smilacaceae,Smilax bona-nox,,,
PRFO,Monocots,Agapanthaceae,Agapanthus africanus,,,
KXSK,Monocots,Agavaceae,Agave tequilana,,,
YBML,Monocots,Agavaceae,Yucca brevifolia,,,
ICNN,Monocots,Agavaceae,Yucca filamentosa,,,
PLBZ,Monocots,Agavaceae,Chlorogalum pomeridianum,,,
CMCY,Monocots,Agavaceae,Hesperaloe parviflora,,,
GJPF,Monocots,Alliaceae,Allium sativum,,,
KBXS,Monocots,Alliaceae,Allium commutatum,,,
LDME,Monocots,Amaryllidaceae,Amaryllis belladonna,,,
XEUV,Monocots,Amaryllidaceae,Narcissus viridiflorus,,,
IQYY,Monocots,Amaryllidaceae,Narcissus viridiflorus,,,
DMIN,Monocots,Amaryllidaceae,Phycella aff. cyrtanthoides,,,
JDTY,Monocots,Amaryllidaceae,Rhodophiala pratensis,,,
ZKPF,Monocots,Amaryllidaceae,Traubia modesta,,,
DPFW,Monocots,Amaryllidaceae,Zephyranthes treatiae,,,
FGRF,Monocots,Asparagaceae,Asparagus densiflorus,,,
XFJG,Monocots,Asparagaceae,Maianthemum canadense,,,
RCUX,Monocots,Asparagaceae,Maianthemum sp.,,,
UZXL,Monocots,Asparagaceae,Disporopsis pernyi,,,
JVBR,Monocots,Asphodelaceae,Aloe vera,,,
EMJJ,Monocots,Boryaceae,Borya sphaerocephala,,,
FCEL,Monocots,Hemerocallidaceae,Phormium tenax,,,
BLAJ,Monocots,Hemerocallidaceae,Hemerocallis spp.,,,
JHUL,Monocots,Hemerocallidaceae,Hemerocallis sp.,,,
KOFB,Monocots,Hyacinthaceae,Urginea maritima,,,
SVTS,Monocots,Hyacinthaceae,Drimia altissima,,,
YJUG,Monocots,Hypoxidaceae,Curculigo sp.,,,
LTZF,Monocots,Iridaceae,Sisyrinchium angustifolium,,,
MUMD,Monocots,Laxmanniaceae,Lomandra longifolia,,,
VTUS,Monocots,Orchidaceae,Goodyera pubescens,,,
MTHW,Monocots,Orchidaceae,Platanthera clavellata,,,
THDM,Monocots,Orchidaceae,Vanilla planifolia,,,
XZME,Monocots,Orchidaceae,Drakaea elastica,,,
CNTZ,Monocots,Orchidaceae,Oncidium sphacelatum,,,
JSAG,Monocots,Orchidaceae,Masdevallia yuangensis,,,
LELS,Monocots,Orchidaceae,Haemaria discolor,,,
MVRF,Monocots,Ruscaceae,Sansevieria trifasciata,,,
HOKG,Monocots,Ruscaceae,Nolina atopocarpa,,,
LSJW,Monocots,Ruscaceae,Ruscus sp.,,,
ONBE,Monocots,Ruscaceae,Eriospermum lancifolia,,,
RQZP,Monocots,Ruscaceae,Nolina bigelovii,,,
TCYS,Monocots,Ruscaceae,Peliosanthes minor,,,
KYNE,Monocots,Tecophilaeaceae,Cyanella orchidiformis,,,
RDYY,Monocots,Tecophilaeaceae,Cyanastrum cordifolium,,,
IXEM,Monocots,Themidaceae,Brodiaea sierrae,,,
WTDE,Monocots,Xanthorrhoeaceae,Johnsonia pubescens,,,
SART,Monocots,Xeronemataceae,Xeronema callistemon,,,
QGLJ,Monocots/Commelinids,Arecaceae,Cocos nucifera,,,
NSPR,Monocots/Commelinids,Arecaceae,Nypa fruticans,,,
HXJE,Monocots/Commelinids,Arecaceae,Serenoa repens,,,
HWUP,Monocots/Commelinids,Arecaceae,Sabal bermudana,,,
YMES,Monocots/Commelinids,Arecaceae,Typhonium blumei,,,
TZNS,Monocots/Commelinids,Cannaceae,Canna sp.,,,
KNKV,Monocots/Commelinids,Heliconiaceae,Heliconia sp.,,,
TNWF,Monocots/Commelinids,Heliconiaceae,Heliconia sp.,,,
LSKK,Monocots/Commelinids,Lowiaceae,Orchidantha maxillarioides,,,
JNUB,Monocots/Commelinids,Marantaceae,Maranta leuconeura,,,
UOEL,Monocots/Commelinids,Strelitziaceae,Strelitzia reginae,,,
JQCX,Monocots/Commelinids,Zingiberaceae,Curcuma longa,,,
OYLU,Monocots/Commelinids,Zingiberaceae,Curcuma longa,,,
BDJQ,Monocots/Commelinids,Zingiberaceae,Zingiber officinale,,,
BYPY,Monocots/Commelinids,Bromeliaceae,Brocchinia reducta,,,
PWSG,Monocots/Commelinids,Cyperaceae,Cyperus papyrus,,,
WBIB,Monocots/Commelinids,Cyperaceae,Lepidosperma gibsonii,,,
XPAF,Monocots/Commelinids,Cyperaceae,Mapania palustris,,,
WXNT,Monocots/Commelinids,Joinvilleaceae,Joinvillea ascendens,,,
CIEA,Monocots/Commelinids,Juncaceae,Juncus inflexus,,,
RMVB,Monocots/Commelinids,Poaceae,Avena fatua,,,
IADP,Monocots/Commelinids,Poaceae,Deschampsia cespitosa,,,
YPIC,Monocots/Commelinids,Poaceae,Microstegium vimineum,,,
YXNR,Monocots/Commelinids,Poaceae,Triodia aff. bynoei,,,
SOHV,Monocots/Commelinids,Poaceae,Panicum miliaceum,,,
ROEI,Monocots/Commelinids,Poaceae,Cymbopogon nardus,,,
ZENX,Monocots/Commelinids,Poaceae,Neurachne alopecuroidea,,,
VQYB,Monocots/Commelinids,Poaceae,Neurachne lanigera,,,
ZMGN,Monocots/Commelinids,Poaceae,Neurachne munroi,,,
BPKH,Monocots/Commelinids,Poaceae,Neurachne annularis,,,
BXAY,Monocots/Commelinids,Poaceae,Neurachne minor,,,
NNOK,Monocots/Commelinids,Poaceae,Neurachne tenuifolia,,,
XUAB,Monocots/Commelinids,Poaceae,Paraneurachne muelleri,,,
WCOR,Monocots/Commelinids,Poaceae,Thyridolepis multiculmis,,,
XBKS,Monocots/Commelinids,Poaceae,Thyridolepis mitchelliana,,,
HATH,Monocots/Commelinids,Poaceae,Aristida stricta,,,
RCAH,Monocots/Commelinids,Poaceae,Uniola paniculata,,,
TIJL,Monocots/Commelinids,Poaceae,Eleusine coracana,,,
OMXG,Monocots/Commelinids,Poaceae,Eleusine coracana,,,
CXSJ,Monocots/Commelinids,Poaceae,Eleusine coracana,,,
PZAP,Monocots/Commelinids,Poaceae,Eleusine coracana,,,
YLWW,Monocots/Commelinids,Poaceae,Uniola paniculata,,,
BSTR,Monocots/Commelinids,Restionaceae,Chondropetalum tectorum,,,
PPQR,Monocots/Commelinids,Typhaceae,Typha angustifolia,,,
BRUD,Monocots/Commelinids,Typhaceae,Typha latifolia,,,
SGTW,Ginkgoales,Ginkgoaceae,Ginkgo biloba,,,
VDAO,Gnetales,Ephedraceae,Ephedra sinica,,,
GTHK,Gnetales,Gnetaceae,Gnetum montanum,,,
TOXE,Gnetales,Welwitschiaceae,Welwitschia mirabilis,,,
XZUY,Cycadales,Cycadaceae,Cycas micholitzii,,,
KAWQ,Cycadales,Stangeriaceae,Stangeria eriopus,,,
WLIC,Cycadales,Zamiaceae,Dioon edule,,,
GNQG,Cycadales,Zamiaceae,Encephalartos barteri,,,
MIXZ,Conifers,Araucariaceae,Agathis robusta,,,
XTZO,Conifers,Araucariaceae,Araucaria rulei,,,
ACWS,Conifers,Araucariaceae,Agathis macrophylla,,,
RSCE,Conifers,Araucariaceae,Wollemia nobilis,,,
WYAJ,Conifers,Cephalotaxaceae,Cephalotaxus harringtonia,,,
GJTI,Conifers,Cephalotaxaceae,Cephalotaxus harringtonia,,,
IAJW,Conifers,Cephalotaxaceae,Amentotaxus argotaenia,,,
XIRK,Conifers,Cupressaceae,Athrotaxis cupressoides,,,
YYPE,Conifers,Cupressaceae,Austrocedrus chilensis,,,
IFLI,Conifers,Cupressaceae,Callitris gracilis,,,
RMMV,Conifers,Cupressaceae,Callitris macleayana,,,
FRPM,Conifers,Cupressaceae,Calocedrus decurrens,,,
AIGO,Conifers,Cupressaceae,Chamaecyparis lawsoniana,,,
DSXO,Conifers,Cupressaceae,Cryptomeria japonica,,,
HOUF,Conifers,Cupressaceae,Cryptomeria japonica,,,
OUOI,Conifers,Cupressaceae,Cunninghamia lanceolata,,,
ESYX,Conifers,Cupressaceae,Cunninghamia lanceolata,,,
QNGJ,Conifers,Cupressaceae,Cupressus dupreziana,,,
GKCZ,Conifers,Cupressaceae,Diselma archeri,,,
UEVI,Conifers,Cupressaceae,Fokienia hodginsii,,,
OXGJ,Conifers,Cupressaceae,Glyptostrobus pensilis,,,
XMGP,Conifers,Cupressaceae,Juniperus scopulorum,,,
NRXL,Conifers,Cupressaceae,Metasequoia glyptostroboides,,,
XQSG,Conifers,Cupressaceae,Microbiota decussata,,,
JDQB,Conifers,Cupressaceae,Neocallitropsis pancheri,,,
OVIJ,Conifers,Cupressaceae,Papuacedrus papuana,,,
ETCJ,Conifers,Cupressaceae,Pilgerodendron uviferum,,,
BUWV,Conifers,Cupressaceae,Platycladus orientalis,,,
HBGV,Conifers,Cupressaceae,Sequoia sempervirens,,,
